,Original,Destination,passengers
169,Arkansas,Rhode Island,0.0
170,Arkansas,Oklahoma,0.0
171,Arkansas,Louisiana,27.0
172,Arkansas,Minnesota,707.0
173,Arkansas,U.S. Pacific Trust Territories and Possessions,0.0
174,Arkansas,Michigan,0.0
175,Arkansas,Pennsylvania,0.0
176,Arkansas,Nebraska,0.0
177,Arkansas,Wyoming,0.0
178,Arkansas,Oregon,0.0
179,Arkansas,Iowa,0.0
180,Arkansas,South Carolina,0.0
181,Arkansas,Vermont,0.0
182,Arkansas,Maryland,0.0
183,Arkansas,Connecticut,0.0
184,Arkansas,North Carolina,15177.0
185,Arkansas,New Mexico,0.0
186,Arkansas,U.S. Virgin Islands,0.0
187,Arkansas,Texas,58168.0
188,Arkansas,New Jersey,0.0
189,Arkansas,New Hampshire,0.0
190,Arkansas,Alaska,0.0
191,Arkansas,North Dakota,0.0
192,Arkansas,Maine,0.0
193,Arkansas,Colorado,12853.0
194,Arkansas,California,0.0
195,Arkansas,Missouri,3658.0
196,Arkansas,Nevada,3125.0
197,Arkansas,Delaware,0.0
198,Arkansas,Wisconsin,0.0
199,Arkansas,New York,1486.0
200,Arkansas,Puerto Rico,0.0
201,Arkansas,Ohio,0.0
202,Arkansas,Alabama,0.0
203,Arkansas,Utah,0.0
204,Arkansas,Hawaii,0.0
205,Arkansas,Illinois,12500.0
206,Arkansas,Indiana,0.0
207,Arkansas,Idaho,0.0
208,Arkansas,West Virginia,0.0
209,Arkansas,Tennessee,970.0
210,Arkansas,Arizona,115.0
211,Arkansas,Massachusetts,0.0
212,South Dakota,Montana,0.0
213,South Dakota,Florida,0.0
214,South Dakota,Washington,0.0
215,South Dakota,Arkansas,0.0
216,South Dakota,South Dakota,0.0
217,South Dakota,Mississippi,0.0
218,South Dakota,Kansas,0.0
219,South Dakota,Virginia,184.0
220,South Dakota,Georgia,2382.0
221,South Dakota,Kentucky,0.0
222,South Dakota,Rhode Island,0.0
223,South Dakota,Oklahoma,56.0
224,South Dakota,Louisiana,0.0
225,South Dakota,Minnesota,15179.0
226,South Dakota,U.S. Pacific Trust Territories and Possessions,0.0
227,South Dakota,Michigan,58.0
228,South Dakota,Pennsylvania,0.0
229,South Dakota,Nebraska,0.0
230,South Dakota,Wyoming,0.0
231,South Dakota,Oregon,0.0
232,South Dakota,Iowa,37.0
233,South Dakota,South Carolina,0.0
234,South Dakota,Vermont,0.0
235,South Dakota,Maryland,0.0
236,South Dakota,Connecticut,0.0
237,South Dakota,North Carolina,5530.0
238,South Dakota,New Mexico,0.0
239,South Dakota,U.S. Virgin Islands,0.0
240,South Dakota,Texas,9877.0
241,South Dakota,New Jersey,261.0
242,South Dakota,New Hampshire,0.0
243,South Dakota,Alaska,0.0
244,South Dakota,North Dakota,0.0
245,South Dakota,Maine,0.0
246,South Dakota,Colorado,23652.0
247,South Dakota,California,141.0
248,South Dakota,Missouri,261.0
249,South Dakota,Nevada,2896.0
250,South Dakota,Delaware,0.0
251,South Dakota,Wisconsin,0.0
252,South Dakota,New York,27.0
253,South Dakota,Puerto Rico,0.0
254,South Dakota,Ohio,0.0
255,South Dakota,Alabama,0.0
256,South Dakota,Utah,1572.0
257,South Dakota,Hawaii,0.0
258,South Dakota,Illinois,15030.0
259,South Dakota,Indiana,119.0
260,South Dakota,Idaho,0.0
261,South Dakota,West Virginia,0.0
262,South Dakota,Tennessee,0.0
263,South Dakota,Arizona,7934.0
264,South Dakota,Massachusetts,0.0
265,Mississippi,Montana,0.0
266,Mississippi,Florida,3329.0
267,Mississippi,Washington,0.0
268,Mississippi,Arkansas,0.0
269,Mississippi,South Dakota,0.0
270,Mississippi,Mississippi,32.0
271,Mississippi,Kansas,0.0
272,Mississippi,Virginia,1083.0
273,Mississippi,Georgia,33438.0
274,Mississippi,Kentucky,0.0
275,Mississippi,Rhode Island,0.0
276,Mississippi,Oklahoma,0.0
277,Mississippi,Louisiana,201.0
278,Mississippi,Minnesota,342.0
279,Mississippi,U.S. Pacific Trust Territories and Possessions,0.0
280,Mississippi,Michigan,594.0
281,Mississippi,Pennsylvania,224.0
282,Mississippi,Nebraska,0.0
283,Mississippi,Wyoming,0.0
284,Mississippi,Oregon,0.0
285,Mississippi,Iowa,0.0
286,Mississippi,South Carolina,427.0
287,Mississippi,Vermont,0.0
288,Mississippi,Maryland,2274.0
289,Mississippi,Connecticut,0.0
290,Mississippi,North Carolina,11287.0
291,Mississippi,New Mexico,0.0
292,Mississippi,U.S. Virgin Islands,0.0
293,Mississippi,Texas,31401.0
294,Mississippi,New Jersey,0.0
295,Mississippi,New Hampshire,0.0
296,Mississippi,Alaska,0.0
297,Mississippi,North Dakota,0.0
298,Mississippi,Maine,0.0
299,Mississippi,Colorado,0.0
300,Mississippi,California,0.0
301,Mississippi,Missouri,0.0
302,Mississippi,Nevada,0.0
303,Mississippi,Delaware,0.0
304,Mississippi,Wisconsin,276.0
305,Mississippi,New York,0.0
306,Mississippi,Puerto Rico,0.0
307,Mississippi,Ohio,137.0
308,Mississippi,Alabama,0.0
309,Mississippi,Utah,0.0
310,Mississippi,Hawaii,0.0
311,Mississippi,Illinois,246.0
312,Mississippi,Indiana,252.0
313,Mississippi,Idaho,0.0
314,Mississippi,West Virginia,0.0
315,Mississippi,Tennessee,1573.0
316,Mississippi,Arizona,0.0
317,Mississippi,Massachusetts,0.0
318,Kansas,Montana,0.0
319,Kansas,Florida,192.0
320,Kansas,Washington,1764.0
321,Kansas,Arkansas,0.0
322,Kansas,South Dakota,0.0
323,Kansas,Mississippi,0.0
324,Kansas,Kansas,0.0
325,Kansas,Virginia,136.0
326,Kansas,Georgia,7015.0
327,Kansas,Kentucky,0.0
328,Kansas,Rhode Island,0.0
329,Kansas,Oklahoma,328.0
330,Kansas,Louisiana,255.0
331,Kansas,Minnesota,3582.0
332,Kansas,U.S. Pacific Trust Territories and Possessions,0.0
333,Kansas,Michigan,0.0
334,Kansas,Pennsylvania,0.0
335,Kansas,Nebraska,49.0
336,Kansas,Wyoming,0.0
337,Kansas,Oregon,0.0
338,Kansas,Iowa,33.0
339,Kansas,South Carolina,170.0
340,Kansas,Vermont,0.0
341,Kansas,Maryland,0.0
342,Kansas,Connecticut,0.0
343,Kansas,North Carolina,167.0
344,Kansas,New Mexico,0.0
345,Kansas,U.S. Virgin Islands,0.0
346,Kansas,Texas,25552.0
347,Kansas,New Jersey,0.0
348,Kansas,New Hampshire,0.0
349,Kansas,Alaska,0.0
350,Kansas,North Dakota,0.0
351,Kansas,Maine,0.0
352,Kansas,Colorado,14025.0
353,Kansas,California,0.0
354,Kansas,Missouri,3203.0
355,Kansas,Nevada,2707.0
356,Kansas,Delaware,0.0
357,Kansas,Wisconsin,0.0
358,Kansas,New York,0.0
359,Kansas,Puerto Rico,0.0
360,Kansas,Ohio,0.0
361,Kansas,Alabama,0.0
362,Kansas,Utah,0.0
363,Kansas,Hawaii,0.0
364,Kansas,Illinois,10206.0
365,Kansas,Indiana,0.0
366,Kansas,Idaho,0.0
367,Kansas,West Virginia,0.0
368,Kansas,Tennessee,0.0
369,Kansas,Arizona,1476.0
370,Kansas,Massachusetts,0.0
371,Virginia,Montana,478.0
372,Virginia,Florida,172308.0
373,Virginia,Washington,23111.0
374,Virginia,Arkansas,1883.0
375,Virginia,South Dakota,184.0
376,Virginia,Mississippi,1226.0
377,Virginia,Kansas,0.0
378,Virginia,Virginia,45618.0
379,Virginia,Georgia,158117.0
380,Virginia,Kentucky,17985.0
381,Virginia,Rhode Island,9433.0
382,Virginia,Oklahoma,1893.0
383,Virginia,Louisiana,5860.0
384,Virginia,Minnesota,26317.0
385,Virginia,U.S. Pacific Trust Territories and Possessions,0.0
386,Virginia,Michigan,43556.0
387,Virginia,Pennsylvania,47888.0
388,Virginia,Nebraska,2852.0
389,Virginia,Wyoming,4.0
390,Virginia,Oregon,8118.0
391,Virginia,Iowa,3060.0
392,Virginia,South Carolina,31844.0
393,Virginia,Vermont,7451.0
394,Virginia,Maryland,12277.0
395,Virginia,Connecticut,15366.0
