,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,150,Idaho,1,0.0062144407255299156,0.37490890161374285,11429.01522496642,97040.0,21606,-2414.0,-25857.174676126768,-0.014059643476845145,196494.0,48715.2051260596,0.02648852492790497
1,151,Idaho,2,0.0031999882384145272,0.2227404759244777,5885.117569197588,101650.0,7975,-1139.0,-17010.153210603552,-0.009249142360801146,204439.0,28780.388348998727,0.0156491188376302
2,152,Idaho,3,0.003142813948005055,0.25341413690060605,5779.967988659785,143074.0,9074,-1496.0,-30856.113783060835,-0.016777778868135296,287644.0,42416.0497603804,0.023063406764145408
3,153,Idaho,4,0.0034041177000343832,0.21691270860077022,6260.533286839434,138892.0,6759,-4058.0,-24747.138407640665,-0.013456069637987515,281842.0,37268.20498131954,0.020264305038056284
4,154,Idaho,5,0.003616386950159479,0.06628724472715099,6650.918938359999,179324.0,4356,1343.0,-5146.95116542306,-0.002798615830421444,357305.0,18448.789042143064,0.010031389730740406
5,155,Idaho,6,0.004288871322259896,0.10653111278136002,7887.68898199611,231446.0,2693,6464.0,-16079.893833779828,-0.008743320849249487,456428.0,31855.271797772042,0.017321063493769277
6,156,Idaho,7,0.008227302496516768,0.20882523708147863,15130.881385158966,261612.0,5395,-4021.0,-40339.99281650545,-0.021934566477682882,527245.0,70601.75558682338,0.03838917147071641
7,157,Idaho,8,0.013283899009168642,0.4028481683464051,24430.498371156104,236515.0,20905,-1917.0,-71621.39610401395,-0.0389435933024056,474947.0,120482.39284632617,0.06551139132074289
8,158,Idaho,9,0.012366123994112169,0.4526106142851564,22742.612834315656,203485.0,34770,-2220.0,-70361.65357721243,-0.03825861781605434,409190.0,115846.87924584378,0.0629908658042787
9,159,Idaho,10,0.006999072202580314,0.6002944081092664,12872.035682198672,210153.0,32216,-5988.0,-116876.1979809463,-0.06355055009387511,426294.0,142620.26934534364,0.07754869449903574
