,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,110,Florida,1,0.017435875146691,0.12043266714388494,375537.1394180832,3215468.0,398062,-290878.0,-46741.46129120928,-0.002170166936112556,6721814.0,797815.7401273756,0.03704191722949455
1,111,Florida,2,0.011683771567630223,0.0769400737401873,251647.2568889029,3625583.0,182114,161733.0,-14861.617536044845,-0.0006900124665109856,7089433.0,518156.1313138509,0.024057555601771446
2,112,Florida,3,0.02596873401008193,0.06199535923687105,559319.4492624045,5798399.0,146814,377277.0,223235.04340549922,0.010364616269953419,11219521.0,895403.8551193089,0.0415728517502104
3,113,Florida,4,0.01483822181776252,0.07484620460876844,319588.39625844907,5608362.0,168993,-357196.0,-126910.97841502631,-0.005892370533092052,11573920.0,766087.7709319243,0.03556881416861709
4,114,Florida,5,0.010119498107861998,0.04517799238472111,217955.64259327788,6208853.0,81881,-178659.0,-70619.3259000368,-0.0032787962097291104,12596365.0,506530.61108659266,0.02351779242545311
5,115,Florida,6,0.007772660452190822,0.027362429727775316,167409.0143067905,6478858.0,38709,-92412.0,-12396.899290447613,-0.0005755776607588936,13050128.0,347214.9279040287,0.016120898565140544
6,116,Florida,7,0.02096390834983357,0.12887550761184002,451524.5782895769,6883048.0,268770,10176.0,-434220.2894616254,-0.02016048469918222,13755920.0,1337269.446040779,0.06208830139884935
7,117,Florida,8,0.03013738630972773,0.1658845150673544,649104.6620301558,5521796.0,616220,-270683.0,-311777.9079226784,-0.014475587379879206,11314275.0,1609987.2319829885,0.0747503599993346
8,118,Florida,9,0.022477738372037506,0.13344648915258786,484129.7323940194,4816096.0,313305,51024.0,-151752.39656528077,-0.00704573679136878,9581168.0,1120011.8613533194,0.052001213535443784
9,119,Florida,10,0.018512762538609114,0.03285094093465308,398731.3414431578,5932802.0,70706,231080.0,211424.40879534578,0.009816258387734575,11634524.0,586038.2740909697,0.027209266689483647
