,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,477,Hawaii,1,0.0151993955029749,0.024603900060938454,22119.239493009787,212280.0,4199,-32170.0,16104.816123113389,0.01106654095568,456730.0,28133.6628629062,0.01933225005026981
1,478,Hawaii,2,0.008246427911174515,0.014105220937228425,12000.787392722847,255813.0,1688,20007.0,8674.69166439876,0.005960877159236156,491619.0,15326.883121046934,0.010531978663112873
2,479,Hawaii,3,0.009864576210013016,0.01647241755114224,14355.631685721852,476000.0,2373,58094.0,7471.709556594203,0.00513423929741897,893906.0,21239.553814849507,0.014594913122607066
3,480,Hawaii,4,0.010380316318646632,0.018087698667668843,15106.173309353204,521114.0,2984,-34932.0,5048.580815990615,0.0034691688462084483,1077160.0,25163.765802715792,0.017291463791084816
4,481,Hawaii,5,0.010364033310297064,0.014250842010938417,15082.47711950932,689631.0,2306,40640.0,5833.808911988383,0.004008744015367848,1338622.0,24331.14532703025,0.016719322605226277
5,482,Hawaii,6,0.011319443422229337,0.011249250575873277,16472.85774851111,878397.0,1426,26154.0,6885.762689977142,0.0047316016673026135,1730640.0,26059.952807045083,0.017907285177156066
6,483,Hawaii,7,0.03019033144568473,0.041827202675196275,43935.113833293064,987673.0,4603,12790.0,3158.4850076896896,0.002170375832191866,1962556.0,84711.74265889644,0.0582102870591776
7,484,Hawaii,8,0.042385806242372946,0.08020735778155152,61682.83463614432,813920.0,20640,-99254.0,-11560.439098666222,-0.007943839393945336,1727094.0,134926.10837095487,0.09271545187869124
8,485,Hawaii,9,0.027480717862108064,0.062156587807542435,39991.891763907865,578847.0,15249,-8073.0,3510.9472479050633,0.002412572811459215,1165767.0,76472.83627991068,0.05254886291275693
9,486,Hawaii,10,0.014852292076037164,0.0290174731513111,21614.10994178668,641210.0,4723,2055.0,3067.446889760431,0.0021078183305792745,1280365.0,40160.772993812934,0.02759676582149506
