,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,280,New York,1,0.003984640539342344,0.0637018324466559,80494.71571074898,667610.0,424091,25084.0,39564.63211612894,0.0019585240554249365,1310136.0,121424.79930536902,0.00601075702325975
1,281,New York,2,0.002306170137384686,0.037265737351316074,46587.51718167225,646028.0,215028,-23154.0,21649.95652944383,0.0010717137603444137,1315210.0,71525.07783390064,0.0035406265144249565
2,282,New York,3,0.004674748357123656,0.034630154272686724,94435.75557459588,975086.0,222835,-100809.0,57177.34574338358,0.00283038666289315,2050981.0,131694.16540580816,0.0065191100513541595
3,283,New York,4,0.0044674762188890126,0.02738850968107073,90248.59949935545,1408191.0,165842,110722.0,54712.85723196633,0.0027083898244096853,2705660.0,125784.34176674462,0.006226562613368343
4,284,New York,5,0.0034222561146356367,0.010847370338378015,69133.84791352705,1770854.0,50382,64916.0,50628.90665321513,0.002506226553279707,3476792.0,87638.78917383902,0.00433828567599157
5,285,New York,6,0.0024394176987955355,0.00429570868735026,49279.284348375615,2034209.0,12117,83263.0,40898.58866762438,0.002024557425514847,3985155.0,57659.98002912685,0.002854277972076224
6,286,New York,7,0.009166045181718832,0.015160805077590172,185165.56106115237,2345322.0,35013,30493.0,150070.88980419937,0.007428792635752342,4660151.0,220260.23231810526,0.010903297727685316
7,287,New York,8,0.014417371166232887,0.031833901967819954,291248.90485449095,2300760.0,125626,14931.0,218482.04855329118,0.010815274271075575,4586589.0,364015.76115569094,0.018019468061390213
8,288,New York,9,0.010407541420014724,0.030324258141658664,210245.33570353102,2029416.0,143847,54054.0,150343.94849230783,0.007442309556815414,4004778.0,270146.7229147541,0.01337277328321403
9,289,New York,10,0.006064747336053923,0.02414731153448692,122515.47105771198,2275792.0,127139,-31675.0,66796.34655316408,0.0033065453800982347,4583259.0,178234.59556225996,0.008822949292009616
