,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,398,Oregon,1,0.006396307129181368,0.05588731179422836,27102.790760966527,238805.0,28507,3504.0,13952.450408472796,0.003292803269019572,474106.0,40253.131113460244,0.00949981098934316
1,399,Oregon,2,0.0030091007662440107,0.030455689264269874,12750.330276372031,235958.0,12224,-7354.0,5340.095610104001,0.0012602721218883167,479270.0,20160.56494264006,0.004757929410599704
2,400,Oregon,3,0.004462182121158809,0.015029031690485034,18907.40796597289,413973.0,9225,2185.0,12718.63306421144,0.00300162016744125,825761.0,25096.18286773434,0.005922744074876368
3,401,Oregon,4,0.004642754510318169,0.04033366024620931,19672.53940537272,465345.0,19288,-9474.0,521.3511809278626,0.00012303981183290851,940164.0,38823.72762981759,0.009162469208803432
4,402,Oregon,5,0.004515235150581222,0.03743513451704244,19132.207233211186,593206.0,15878,16371.0,-2461.688585926987,-0.0005809629123014958,1170041.0,40726.10305234936,0.00961143321346394
5,403,Oregon,6,0.004947080334566606,0.02391566903998604,20962.045830124356,720348.0,6990,-1831.0,3690.6518784962796,0.0008710004489925271,1442527.0,38233.43978175243,0.009023160220140682
6,404,Oregon,7,0.010667389644605537,0.038750776328631,45200.46077594268,827304.0,10919,5754.0,13364.76048315588,0.0031541073947752695,1648854.0,77036.16106872949,0.018180671894435806
7,405,Oregon,8,0.018254618112474856,0.09583822848802022,77349.49012479276,781767.0,56532,-9341.0,1531.1008620920763,0.00036134254387558276,1572875.0,153167.87938749342,0.03614789368107412
8,406,Oregon,9,0.016085627918833167,0.08270923162057645,68158.92341284335,674535.0,50967,3675.0,12672.608287863415,0.002990758237846242,1345395.0,123645.23853782324,0.029180497599820082
9,407,Oregon,10,0.008964196856901911,0.0577158415653068,37983.59691708876,702010.0,33344,-14687.0,-3381.17358524193,-0.000797963017868623,1418707.0,79348.36741941945,0.01872635673167244
