,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,378,Arkansas,1,0.0031804087940603292,0.1732035258518616,9577.877413123739,63766.0,65826,3522.0,-856.5957982958104,-0.000284439306575611,124010.0,20012.350624543295,0.0066452568946962715
1,379,Arkansas,2,0.0017756173917333638,0.10070866325285757,5347.314390022427,53573.0,25921,-1988.0,-248.15964896959323,-8.240334427671612e-05,109134.0,10942.788429014445,0.0036336381277434432
2,380,Arkansas,3,0.003920656326070967,0.05158164532960207,11807.150621714542,95521.0,7889,619.0,6911.949316644652,0.0022951666055607235,190423.0,16702.351926784442,0.005546146046581214
3,381,Arkansas,4,0.0020418880899414765,0.04603203167176534,6149.194988172915,103268.0,5116,-2043.0,1301.5157007876355,0.0004321784255372481,208579.0,10996.874275558192,0.003651597754345704
4,382,Arkansas,5,0.0019668761058750997,0.06632034207721241,5923.294597869403,137663.0,5413,-4289.0,-3491.0106006750516,-0.0011592172603223656,279615.0,15337.599796413859,0.005092969472072565
5,383,Arkansas,6,0.0018262133131557849,0.11577350121828447,5499.685221688162,156742.0,7935,-2421.0,-12927.17255271765,-0.004292568331754171,315905.0,23926.54299609397,0.00794499495806574
6,384,Arkansas,7,0.005098364843952765,0.19899645421117143,15353.848088320006,164074.0,36367,-1952.0,-17684.73721854394,-0.00587235473419569,330100.0,48392.43339518395,0.01606908442210122
7,385,Arkansas,8,0.007796599421811552,0.21256212301593844,23479.646277171614,141853.0,64455,6716.0,-5245.361340833256,-0.0017417630876703143,276990.0,52204.65389517648,0.01733496193129342
8,386,Arkansas,9,0.005536323434470696,0.15013412816691504,16672.770894670928,138843.0,40296,-2697.0,-4577.213606074228,-0.001519899428353959,280383.0,37922.75539541608,0.012592546297295351
9,387,Arkansas,10,0.0035869892312958506,0.09252565894909127,10802.304157789005,162161.0,16281,397.0,-4165.016536451792,-0.0013830261809143116,323925.0,25769.624852029818,0.008557004643506018
