,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,487,Montana,1,0.010001686107028595,0.07516115925505916,10844.078119393078,96398.0,12394,-6869.0,3082.4106866008847,0.002842962195670534,199665.0,18605.745552185275,0.017160410018386658
1,488,Montana,2,0.005999770698802728,0.04763061181537067,6505.101385909388,107889.0,5884,122.0,1372.0932424023376,0.001265505999587113,215656.0,11638.109529416439,0.010734035398018343
2,489,Montana,3,0.008618764383094966,0.0389569238674317,9344.67981326114,148325.0,4549,-5334.0,3358.5978487154516,0.003097694527164981,301984.0,15330.761777806827,0.014139834239024951
3,490,Montana,4,0.006699565416820671,0.04094579585138637,7263.8363140523925,129472.0,4092,119.0,1967.3747832880108,0.0018145447515857049,258825.0,12560.297844816772,0.011584586082055636
4,491,Montana,5,0.007189821845327935,0.03427084086472417,7795.38459025068,180649.0,2844,10983.0,1980.7881040963887,0.001826916095917719,350315.0,13609.981076404973,0.012552727594738152
5,492,Montana,6,0.00859378972023876,0.030484303215926493,9317.601659425869,283277.0,1911,17992.0,1230.573280788809,0.001134979622116082,548562.0,17404.63003806293,0.01605259981836144
6,493,Montana,7,0.017703836473830167,0.04423010079944387,19194.942100838514,342853.0,2545,-289.0,4017.7368523157497,0.0037056301527042357,685995.0,34372.147349361294,0.031702042794956115
7,494,Montana,8,0.02767271371882458,0.09229893262628323,30003.44803179258,299515.0,10861,-22554.0,276.8230997781652,0.00025531886811147613,621584.0,59730.072963807004,0.055090108569537694
8,495,Montana,9,0.023887030892324607,0.11635339776272734,25898.916069230647,236540.0,22935,-5926.0,-2312.8268727068044,-0.0021331613573813595,479006.0,54110.65901116809,0.04990722314203057
9,496,Montana,10,0.013490413413140718,0.11978195885352559,14626.643482862495,186392.0,23842,-13538.0,-9321.363550722877,-0.008597259379485694,386322.0,38574.65051644786,0.03557808620576712
