,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,210,South Carolina,1,0.003580945449028828,0.12885584122962074,18328.80070994538,132071.0,135879,-2221.0,1024.4920795371445,0.00020015768122755428,266363.0,35633.109340353585,0.006961733216830096
1,211,South Carolina,2,0.0023703084658392563,0.09221335726222292,12132.246109263295,143242.0,70907,2250.0,-869.0995578520378,-0.00016979824025008432,284234.0,25133.59177637862,0.004910415171928595
2,212,South Carolina,3,0.010036895540748839,0.058039948813642335,51373.09705815738,276374.0,33654,17409.0,36342.781713632496,0.007100383753524277,535339.0,66403.41240268227,0.012973407327973403
3,213,South Carolina,4,0.0044553016207918164,0.056255251327448956,22804.127198401355,358707.0,25978,2902.0,2788.227499838378,0.0005447432559504883,714512.0,42820.026896964315,0.008365859985633143
4,214,South Carolina,5,0.003669148623427223,0.04096895494192129,18780.262042865485,485993.0,13706,3789.0,-975.1319059487347,-0.00019051405577863009,968197.0,38535.65599167968,0.007528811302633072
5,215,South Carolina,6,0.002802465989060621,0.01742535296323533,14344.211980057607,592675.0,3578,4641.0,4097.511975674484,0.0008005415680945768,1180709.0,24590.911984440725,0.004804390410026663
6,216,South Carolina,7,0.00887334666901584,0.0912007395021954,45417.5594243574,690996.0,20127,10972.0,-16601.13225488351,-0.0032434063710777257,1371020.0,107436.25110359838,0.02099009970910942
7,217,South Carolina,8,0.014550423895684624,0.14544677802004066,74475.25342826957,588596.0,118139,-14234.0,-13204.427765551547,-0.00257978338366813,1191426.0,162154.93462209066,0.031680631175037374
8,218,South Carolina,9,0.010442717754193158,0.10751297961017889,53450.26762100612,486449.0,116752,8.0,1151.546306451094,0.00022498059587687503,972890.0,105748.98893556121,0.020660454912509455
9,219,South Carolina,10,0.006696277464153705,0.05510784705898216,34274.393979460925,525784.0,36783,-4916.0,5028.659545259091,0.0009824622897198047,1056484.0,63520.12841366274,0.0124100926385876
