,index,State,Month,SIIP,IRCC,IIP,IP,IC,NIP,NIIP,SNIIP,OPE,OIPE,SOIPE
0,170,Illinois,1,0.011941808606168593,0.061138763511741044,153004.51830100393,1217539.0,162912,61995.0,82355.98695759266,0.00642778033446634,2373083.0,223653.0496444153,0.01745583687787085
1,171,Illinois,2,0.00670338681909754,0.028532228257826062,85887.19724678178,1188052.0,58083,-24083.0,51302.28474748181,0.004004078260671667,2400187.0,120472.10974608175,0.009402695377523413
2,172,Illinois,3,0.010892511509199673,0.027588976466767404,139560.39085171287,1899214.0,56746,-95277.0,84534.42558953352,0.006597804706895288,3893705.0,194586.35611389222,0.015187218311504058
3,173,Illinois,4,0.010268394975091548,0.03872404485974648,131563.89276552026,2253234.0,86944,123861.0,49105.957190387264,0.0038326576803220155,4382607.0,214021.82834065327,0.01670413226986108
4,174,Illinois,5,0.00827642560316502,0.023033561288565544,106041.76925195665,2701531.0,44318,35192.0,44626.48647936411,0.0034830406723932667,5367870.0,167457.05202454928,0.013069810533936781
5,175,Illinois,6,0.007398952811848528,0.008029253433839372,94799.14209343176,3237224.0,9152,30683.0,69053.01175843502,0.00538949999160469,6443765.0,120545.27242842849,0.009408405632092366
6,176,Illinois,7,0.022053787713368214,0.02670824638418178,282564.3315078319,3774109.0,27415,55165.0,183237.85886685722,0.014301482494048567,7493053.0,381890.80414880643,0.029806092932687843
7,177,Illinois,8,0.03400782447309239,0.05293544786193167,435725.523124092,3498514.0,103331,39174.0,252603.8109173973,0.019715407078567077,6957854.0,618847.2353307864,0.04830024186761768
8,178,Illinois,9,0.02667070713756622,0.03514301646228335,341718.6485657243,3125577.0,99388,-13240.0,231411.1510626296,0.018061346854388663,6264394.0,452026.1460688194,0.035280067420743806
9,179,Illinois,10,0.020199962194330182,0.0189590579934303,258812.177214553,3390976.0,64660,-25857.0,194032.24221368652,0.01514397042434522,6807809.0,323592.1122154194,0.02525595396431514
