,Original,Destination,passengers
0,Montana,Montana,3727.0
1,Montana,Florida,7.0
2,Montana,Washington,28667.0
3,Montana,Arkansas,0.0
4,Montana,South Dakota,0.0
5,Montana,Mississippi,0.0
6,Montana,Kansas,0.0
7,Montana,Virginia,0.0
8,Montana,Georgia,825.0
9,Montana,Kentucky,0.0
10,Montana,Rhode Island,0.0
11,Montana,Oklahoma,72.0
12,Montana,Louisiana,0.0
13,Montana,Minnesota,18934.0
14,Montana,U.S. Pacific Trust Territories and Possessions,0.0
15,Montana,Michigan,0.0
16,Montana,Pennsylvania,0.0
17,Montana,Nebraska,0.0
18,Montana,Wyoming,0.0
19,Montana,Oregon,1305.0
20,Montana,Iowa,0.0
21,Montana,South Carolina,0.0
22,Montana,Vermont,0.0
23,Montana,Maryland,0.0
24,Montana,Connecticut,0.0
25,Montana,North Carolina,1376.0
26,Montana,New Mexico,0.0
27,Montana,U.S. Virgin Islands,0.0
28,Montana,Texas,15193.0
29,Montana,New Jersey,9.0
30,Montana,New Hampshire,0.0
31,Montana,Alaska,0.0
32,Montana,North Dakota,0.0
33,Montana,Maine,0.0
34,Montana,Colorado,60234.0
35,Montana,California,6518.0
36,Montana,Missouri,0.0
37,Montana,Nevada,10454.0
38,Montana,Delaware,0.0
39,Montana,Wisconsin,13.0
40,Montana,New York,0.0
41,Montana,Puerto Rico,0.0
42,Montana,Ohio,0.0
43,Montana,Alabama,0.0
44,Montana,Utah,41218.0
45,Montana,Hawaii,0.0
46,Montana,Illinois,7200.0
47,Montana,Indiana,0.0
48,Montana,Idaho,52.0
49,Montana,West Virginia,0.0
50,Montana,Tennessee,1118.0
51,Montana,Arizona,6725.0
52,Montana,Massachusetts,10.0
53,Florida,Montana,0.0
54,Florida,Florida,305966.0
55,Florida,Washington,37699.0
56,Florida,Arkansas,5949.0
57,Florida,South Dakota,1085.0
58,Florida,Mississippi,3297.0
59,Florida,Kansas,0.0
60,Florida,Virginia,205154.0
61,Florida,Georgia,659666.0
62,Florida,Kentucky,117763.0
63,Florida,Rhode Island,29965.0
64,Florida,Oklahoma,6984.0
65,Florida,Louisiana,56503.0
66,Florida,Minnesota,89537.0
67,Florida,U.S. Pacific Trust Territories and Possessions,0.0
68,Florida,Michigan,161501.0
69,Florida,Pennsylvania,286612.0
70,Florida,Nebraska,4863.0
71,Florida,Wyoming,0.0
72,Florida,Oregon,4855.0
73,Florida,Iowa,8944.0
74,Florida,South Carolina,23036.0
75,Florida,Vermont,0.0
76,Florida,Maryland,174840.0
77,Florida,Connecticut,62256.0
78,Florida,North Carolina,412224.0
79,Florida,New Mexico,0.0
80,Florida,U.S. Virgin Islands,28522.0
81,Florida,Texas,636704.0
82,Florida,New Jersey,345958.0
83,Florida,New Hampshire,11339.0
84,Florida,Alaska,0.0
85,Florida,North Dakota,593.0
86,Florida,Maine,5802.0
87,Florida,Colorado,148286.0
88,Florida,California,170976.0
89,Florida,Missouri,113750.0
90,Florida,Nevada,71112.0
91,Florida,Delaware,1131.0
92,Florida,Wisconsin,30139.0
93,Florida,New York,537753.0
94,Florida,Puerto Rico,173706.0
95,Florida,Ohio,130117.0
96,Florida,Alabama,13824.0
97,Florida,Utah,38376.0
98,Florida,Hawaii,1372.0
99,Florida,Illinois,377432.0
100,Florida,Indiana,94052.0
101,Florida,Idaho,0.0
102,Florida,West Virginia,7778.0
103,Florida,Tennessee,165121.0
104,Florida,Arizona,45534.0
105,Florida,Massachusetts,199612.0
106,Washington,Montana,26817.0
107,Washington,Florida,40368.0
108,Washington,Washington,163762.0
109,Washington,Arkansas,0.0
110,Washington,South Dakota,0.0
111,Washington,Mississippi,0.0
112,Washington,Kansas,1618.0
113,Washington,Virginia,24280.0
114,Washington,Georgia,47844.0
115,Washington,Kentucky,6717.0
116,Washington,Rhode Island,0.0
117,Washington,Oklahoma,3432.0
118,Washington,Louisiana,4151.0
119,Washington,Minnesota,47929.0
120,Washington,U.S. Pacific Trust Territories and Possessions,0.0
121,Washington,Michigan,23668.0
122,Washington,Pennsylvania,16112.0
123,Washington,Nebraska,4150.0
124,Washington,Wyoming,507.0
125,Washington,Oregon,98919.0
126,Washington,Iowa,0.0
127,Washington,South Carolina,3919.0
128,Washington,Vermont,0.0
129,Washington,Maryland,4790.0
130,Washington,Connecticut,0.0
131,Washington,North Carolina,21260.0
132,Washington,New Mexico,4834.0
133,Washington,U.S. Virgin Islands,0.0
134,Washington,Texas,100859.0
135,Washington,New Jersey,22968.0
136,Washington,New Hampshire,0.0
137,Washington,Alaska,96174.0
138,Washington,North Dakota,0.0
139,Washington,Maine,0.0
140,Washington,Colorado,86488.0
141,Washington,California,419670.0
142,Washington,Missouri,17639.0
143,Washington,Nevada,108818.0
144,Washington,Delaware,0.0
145,Washington,Wisconsin,4479.0
146,Washington,New York,31711.0
147,Washington,Puerto Rico,0.0
148,Washington,Ohio,2763.0
149,Washington,Alabama,0.0
150,Washington,Utah,59731.0
151,Washington,Hawaii,70661.0
152,Washington,Illinois,72488.0
153,Washington,Indiana,5061.0
154,Washington,Idaho,36108.0
155,Washington,West Virginia,0.0
156,Washington,Tennessee,13235.0
157,Washington,Arizona,104302.0
158,Washington,Massachusetts,26499.0
159,Arkansas,Montana,0.0
160,Arkansas,Florida,6404.0
161,Arkansas,Washington,0.0
162,Arkansas,Arkansas,55.0
163,Arkansas,South Dakota,0.0
164,Arkansas,Mississippi,210.0
165,Arkansas,Kansas,0.0
166,Arkansas,Virginia,2570.0
167,Arkansas,Georgia,31083.0
168,Arkansas,Kentucky,0.0
169,Arkansas,Rhode Island,0.0
170,Arkansas,Oklahoma,199.0
171,Arkansas,Louisiana,72.0
172,Arkansas,Minnesota,1179.0
173,Arkansas,U.S. Pacific Trust Territories and Possessions,0.0
174,Arkansas,Michigan,0.0
175,Arkansas,Pennsylvania,0.0
176,Arkansas,Nebraska,0.0
177,Arkansas,Wyoming,0.0
178,Arkansas,Oregon,0.0
179,Arkansas,Iowa,0.0
180,Arkansas,South Carolina,0.0
181,Arkansas,Vermont,0.0
182,Arkansas,Maryland,0.0
183,Arkansas,Connecticut,0.0
